mktime,co2,temp,humidity

 sensirion,sensor_id=310BA co2=1694.880371,temp=27.432671,humidity=57.409668 946684801
 sensirion,sensor_id=310BA co2=1686.911133,temp=27.419319,humidity=56.201172 946684806
 sensirion,sensor_id=310BA co2=1689.017090,temp=27.491417,humidity=55.963135 946684812
 sensirion,sensor_id=310BA co2=1670.051758,temp=27.518120,humidity=55.355835 946684817
 sensirion,sensor_id=310BA co2=1671.604004,temp=27.504768,humidity=54.678345 946684822
 sensirion,sensor_id=310BA co2=1689.755859,temp=27.531471,humidity=55.189514 946684827
 sensirion,sensor_id=310BA co2=1699.348145,temp=27.475395,humidity=55.056763 946684832
 sensirion,sensor_id=310BA co2=1702.220703,temp=27.518120,humidity=54.759216 946684837
 1698186718, 854.404541, 26.668953, 44.404602
 1698186738, 858.505127, 26.623558, 44.314575
 1698186759, 856.717529, 26.738380, 44.281006
 1698186779, 859.122803, 26.636909, 44.415283
 1698186800, 851.336914, 26.682304, 44.250488
 1698186820, 850.777832, 26.725029, 44.181824
 1698186841, 848.694824, 26.725029, 44.097900
 1698186861, 847.528076, 26.652931, 44.319153
 1698186881, 846.646729, 26.636909, 44.171143
 1698186902, 842.983887, 26.668953, 44.102478
 1698186923, 843.850098, 26.738380, 43.978882
 1698186943, 841.716064, 26.781113, 43.870544
 1698186964, 842.305176, 26.738380, 43.978882
 1698186984, 840.617920, 26.767761, 43.859863
 1698187005, 841.777100, 26.797134, 43.801880
 1698187025, 843.147949, 26.767761, 43.833923
 1698187046, 842.835205, 26.810486, 43.682861
 1698187066, 847.271240, 26.810486, 43.644714
 1698187087, 845.995361, 26.837189, 43.536377
 1698187107, 844.861572, 26.866562, 43.540955
 1698187128, 841.696777, 26.853210, 43.504333
 1698187148, 840.505615, 26.879913, 43.431091
 1698187169, 839.766113, 26.879913, 43.380737
 1698187189, 847.475342, 26.853210, 43.415833
 1698187210, 839.607178, 26.823837, 43.502808
 1698187230, 839.512207, 26.879913, 43.315125
 1698187252, 838.939697, 26.895935, 43.316650
 1698187273, 834.346680, 26.965363, 43.127441
 1698187293, 833.182861, 26.978714, 43.063354
 1698187314, 830.079102, 26.978714, 43.035889
 1698187334, 828.998047, 26.952011, 42.926025
 1698187355, 828.881104, 26.935989, 43.124390
 1698187375, 826.250488, 26.922638, 43.109131
 1698187396, 823.025391, 26.952011, 42.980957
 1698187416, 824.588623, 26.895935, 43.023682
 1698187438, 824.392578, 26.952011, 43.005371
 1698187459, 822.495605, 26.952011, 42.858887
 1698187479, 821.179688, 26.909286, 42.843628
 1698187500, 821.226563, 26.866562, 42.944336
 1698187520, 819.914795, 26.895935, 42.881775
 1698187541, 820.968018, 26.935989, 42.872620
 1698187561, 818.452637, 26.922638, 42.922974
 1698187582, 817.292236, 26.866562, 42.877197
 1698187602, 813.827881, 26.866562, 42.955017
 1698187623, 813.344971, 26.895935, 42.816162
 1698187643, 813.528809, 26.797134, 43.000793
 1698187664, 810.985352, 26.810486, 42.898560
 1698187684, 806.956543, 26.853210, 42.955017
 1698187705, 807.932373, 26.866562, 42.811584
 1698187725, 809.095947, 26.810486, 42.843628
 1698187746, 805.837646, 26.853210, 42.822266
 1698187766, 804.386719, 26.866562, 42.758179
 1698187786, 802.496582, 26.837189, 42.648315
 1698187807, 798.784668, 26.823837, 42.753601
 1698187827, 797.596436, 26.823837, 42.726135
 1698187848, 799.606445, 26.810486, 42.660522
 1698187868, 799.053711, 26.754410, 42.706299
 1698187889, 796.668701, 26.767761, 42.785645
 1698187909, 795.329834, 26.767761, 42.680359
 1698187930, 796.418457, 26.823837, 42.610168
 1698187950, 799.586670, 26.810486, 42.634583
 1698187971, 798.866211, 26.767761, 42.564392
 1698187991, 798.250000, 26.767761, 42.642212
 1698188012, 793.127441, 26.767761, 42.628479
 1698188032, 789.214600, 26.797134, 42.436218
 1698188053, 787.234863, 26.781113, 42.510986
 1698188073, 784.892578, 26.823837, 42.477417
 1698188094, 785.596436, 26.781113, 42.500305
 1698188114, 784.270264, 26.866562, 42.350769
 1698188135, 787.148926, 26.823837, 42.318726
 1698188155, 782.847900, 26.853210, 42.268372
 1698188176, 782.323242, 26.767761, 42.350769
 1698188196, 781.285889, 26.810486, 42.317200
 1698188217, 781.355469, 26.837189, 42.268372
 1698188237, 782.801514, 26.797134, 42.474365
 1698188258, 782.187500, 26.767761, 42.655945
 1698188278, 780.419434, 26.711678, 43.003845
 1698188299, 776.248047, 26.668953, 43.196106
 1698188319, 775.449219, 26.682304, 43.292236
